Technischer Platz,Technicher Platz,TP,techn. Platz
GeoSAP,GIS,Geo-Informationssystem
IH-Meldung,Meldung,Störung
Behebung,Auftrag
Bestandsverwaltung,IM,Inventory Management
Bestandsverwaltung,WM,Warehouse Management,EWM
Verfügbarkeitsprüfung,ATP,Verfügbarkeit
Bestellanforderung,Banf,PR
Innenauftrag,CO-Auftrag,AAR-Auftrag
Transaktion,tcode,TC,TX
Customizing,SPRO
Kontrakt,Kontrakte,Rahmenvertrag,Rahmenverträge
